"項目","単位","1980_昭和55年","1981_昭和56年","1982_昭和57年","1983_昭和58年","1984_昭和59年","1985_昭和60年","1986_昭和61年","1987_昭和62年","1988_昭和63年","1989_平成元年","1990_平成2年","1991_平成3年","1992_平成4年","1993_平成5年","1994_平成6年","1995_平成7年","1996_平成8年","1997_平成9年","1998_平成10年","1999_平成11年","2000_平成12年","2001_平成13年","2002_平成14年","2003_平成15年","2004_平成16年","2005_平成17年","2006_平成18年","2007_平成19年","2008_平成20年","2009_平成21年","2010_平成22年","2011_平成23年","2012_平成24年","有効数字(少数桁)"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　世帯数分布（抽出率調整）","","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","34.0","34.0","33.0","31.0","31.0","32.0","32.0","32.0","31.0","31.0","31.0","31.0","31.0","30.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　集計世帯数","","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","94.0","95.0","94.0","95.0","95.0","94.0","95.0","95.0","90.0","94.0","93.0","94.0","93.0","90.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　世帯人員","人","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","3.13","3.17","3.19","2.99","2.85","2.96","3.1","2.94","3.08","2.9","2.87","2.75","2.9","3.04"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","269126.0","268591.0","284980.0","275926.0","250903.0","241506.0","244319.0","233420.0","261243.0","260471.0","235118.0","252829.0","244922.0","264987.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　食料","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","68640.0","70387.0","70362.0","69301.0","64676.0","63850.0","61631.0","59772.0","69475.0","64105.0","62084.0","62054.0","63070.0","65780.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　住居","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","12367.0","10188.0","15175.0","12273.0","13264.0","9101.0","13406.0","12485.0","14636.0","13248.0","9430.0","18932.0","10735.0","8655.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　光熱・水道","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","19748.0","21092.0","20875.0","19567.0","18970.0","18854.0","19568.0","18751.0","22221.0","19390.0","18814.0","19344.0","20112.0","21681.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　家具・家事用品","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","10934.0","10224.0","13730.0","10843.0","9598.0","9477.0","8832.0","7532.0","8995.0","9297.0","8302.0","9688.0","9071.0","10254.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　被服及び履物","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","13744.0","13708.0","13013.0","11821.0","12010.0","11049.0","9948.0","9530.0","10266.0","10447.0","8355.0","9856.0","9686.0","11138.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　保健医療","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","9487.0","9034.0","9921.0","9942.0","10003.0","11991.0","12323.0","12139.0","11194.0","12346.0","11349.0","10370.0","10997.0","10551.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　交通・通信","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","24591.0","28188.0","31253.0","29921.0","26796.0","31550.0","26092.0","23416.0","27917.0","30102.0","26607.0","27386.0","26975.0","40660.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　教育","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","9749.0","14343.0","12011.0","11657.0","6810.0","7161.0","9668.0","8530.0","9686.0","7847.0","6925.0","10530.0","9395.0","13615.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　教養娯楽","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","27054.0","24620.0","26832.0","28581.0","25574.0","23598.0","27222.0","25328.0","26677.0","27827.0","27836.0","23632.0","25259.0","24644.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　その他の消費支出","円","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","72812.0","66808.0","71808.0","72020.0","63201.0","54874.0","55630.0","55937.0","60176.0","65862.0","55415.0","61036.0","59620.0","58009.0"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　エンゲル係数","％","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","25.5","26.2","24.7","25.1","25.8","26.4","25.2","25.6","26.6","24.6","26.4","24.5","25.8","24.8"
