"項目","単位","1980_昭和55年","1981_昭和56年","1982_昭和57年","1983_昭和58年","1984_昭和59年","1985_昭和60年","1986_昭和61年","1987_昭和62年","1988_昭和63年","1989_平成元年","1990_平成2年","1991_平成3年","1992_平成4年","1993_平成5年","1994_平成6年","1995_平成7年","1996_平成8年","1997_平成9年","1998_平成10年","1999_平成11年","2000_平成12年","2001_平成13年","2002_平成14年","2003_平成15年","2004_平成16年","2005_平成17年","2006_平成18年","2007_平成19年","2008_平成20年","2009_平成21年","2010_平成22年","2011_平成23年","2012_平成24年","有効数字(少数桁)"
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　世帯数分布（抽出率調整）","","43.0","43.0","43.0","37.0","36.0","36.0","36.0","36.0","38.0","38.0","38.0","38.0","38.0","36.0","36.0","35.0","36.0","36.0","34.0","34.0","34.0","35.0","34.0","34.0","34.0","33.0","34.0","34.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　集計世帯数","","95.0","96.0","95.0","96.0","95.0","95.0","96.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","94.0","95.0","95.0","95.0","94.0","94.0","95.0","94.0","95.0","95.0","94.0","95.0","95.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　世帯人員","人","3.47","3.54","3.75","3.56","3.77","3.56","3.66","3.66","3.52","3.42","3.53","3.5","3.55","3.17","3.29","3.23","3.22","3.14","3.29","3.21","3.11","3.16","3.17","3.04","2.93","3.02","3.12","2.95","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出","円","219817.0","214871.0","229253.0","221109.0","234122.0","242842.0","254997.0","246570.0","243858.0","249195.0","281206.0","309406.0","309941.0","298365.0","313276.0","286003.0","292138.0","311171.0","298154.0","283100.0","263882.0","266974.0","284965.0","277432.0","253709.0","242420.0","243786.0","233764.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　食料","円","63797.0","65293.0","70003.0","66292.0","68884.0","70090.0","71982.0","69408.0","70598.0","69500.0","80328.0","83304.0","80432.0","79227.0","78205.0","73922.0","74103.0","77062.0","78243.0","73782.0","68438.0","70010.0","70403.0","69707.0","65446.0","64089.0","61837.0","59784.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　住居","円","5216.0","5848.0","7131.0","5945.0","10404.0","9130.0","8727.0","11274.0","7436.0","9898.0","8794.0","12373.0","8630.0","9523.0","15727.0","11900.0","13705.0","11393.0","14575.0","14524.0","12506.0","10052.0","15176.0","12130.0","13396.0","9111.0","13157.0","12301.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　光熱・水道","円","12845.0","14865.0","14772.0","15472.0","15888.0","15851.0","16434.0","15248.0","14588.0","14324.0","14993.0","16756.0","17160.0","16659.0","19546.0","17458.0","19747.0","19684.0","18640.0","18898.0","19654.0","21111.0","20874.0","19704.0","19215.0","18964.0","19595.0","18658.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　家具・家事用品","円","8273.0","10295.0","8335.0","7620.0","9359.0","9884.0","11640.0","8839.0","9688.0","11017.0","11001.0","10585.0","14360.0","11775.0","11718.0","12045.0","11943.0","16814.0","11287.0","11840.0","10795.0","10129.0","13807.0","10949.0","9723.0","9532.0","8870.0","10365.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　被服及び履物","円","16763.0","14496.0","17366.0","16147.0","16207.0","15481.0","18484.0","19479.0","16890.0","18765.0","19853.0","26540.0","21521.0","19678.0","21101.0","17070.0","17178.0","18525.0","16755.0","15285.0","13666.0","13663.0","12979.0","11951.0","12200.0","11018.0","9872.0","9672.0","－","－","－","－","－",""
"二人以上の世帯―１世帯当たり年平均１ヶ月間の支出 _　消費支出_　　保健医療","円","5217.0","5033.0","5531.0","6620.0","4934.0","6662.0","5989.0","6048.0","6247.0","5549.0","6603.0","8199.0","8765.0","9789.0","8823.0","10135.0","7765.0","9235.0","11206.0","8920.0","9442.0","9057.0","9930.0","9941.0","10080.0","11985.0","12283.0","12109.0","－","－","－","－","－",""
